Filter,Date,PM2.5,SO4,NO3,F,Cl,Na,NH4,K,Ca,OC,IC,Si,Sb,Fe,Ba,Zn,Mg,Al,V
1,8/27/2018,142.15,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2,8/28/2018,89.74,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
3,8/29/2018,221.41,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4,8/30/2018,158.45,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5,8/31/2018,129.59,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
6,9/1/2018,81.85,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
7,9/2/2018,130.64,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
8,9/3/2018,111.23,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
9,9/4/2018,278.59,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
10,9/5/2018,301.15,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
11,9/6/2018,285.94,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
12,9/7/2018,160.02,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
13,9/8/2018,84.47,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
14,9/9/2018,71.35,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
