Filter,Date,PM2.5,SO4,NO3,F,Cl,Na,NH4,K,Ca,OC,IC,Si,Sb,Fe,Ba,Zn,Mg,Al,V
1,7/9/2018,200.51,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2,7/10/2018,153.09,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
3,7/11/2018,151.58,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4,7/12/2018,143.22,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5,7/13/2018,116.53,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
6,7/14/2018,112.38,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
7,7/15/2018,105.60,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
8,7/16/2018,52.63,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
9,7/17/2018,67.47,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
10,7/18/2018,69.53,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
11,7/19/2018,77.76,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
12,7/20/2018,104.78,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
13,7/21/2018,128.53,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
14,7/22/2018,148.37,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
