Filter,Date,PM2.5,SO4,NO3,F,Cl,Na,NH4,K,Ca,OC,IC,Si,Sb,Fe,Ba,Zn,Mg,Al,V
1,9/12/2018,65.09,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2,9/13/2018,79.51,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
3,9/14/2018,86.35,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4,9/15/2018,114.85,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5,9/16/2018,94.32,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
6,9/17/2018,109.87,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
7,9/18/2018,,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
8,9/21/2018,77.53,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
9,9/23/2018,80.05,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
10,9/24/2018,62.54,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
11,9/25/2018,150.23,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
12,9/26/2018,146.97,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
13,9/27/2018,139.23,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
14,9/28/2018,34.04,0.00,0.00,0.00,#VALUE!,0.00,0.00,#VALUE!,0.00,0.00,0.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
