Filter,Date,PM2.5,SO4,NO3,F,Cl,Na,NH4,K,Ca,OC,IC,Si,Sb,Fe,Ba,Zn,Mg,Al,V
1,4/30/2018,176.65,9.19,1.33,0.60,4.11,0.00,0.64,10.27,24.88,25.38,2.72,51.35,18.49,4.11,0.00,0.00,4.11,0.00,0.00
2,4/28/2018,310.09,11.38,1.57,1.01,6.82,0.00,2.07,23.85,47.60,26.66,9.44,105.64,27.26,10.22,17.04,17.04,0.00,0.00,6.82
3,4/29/2018,74.57,9.54,1.48,0.00,1.69,0.00,2.32,4.24,10.11,11.92,0.36,29.66,3.39,1.69,0.00,0.00,1.69,5.08,0.00
4,5/2/2018,152.04,10.19,2.00,0.62,3.71,0.00,0.42,7.42,20.30,14.76,1.68,63.04,9.27,0.00,0.00,0.00,3.71,0.00,0.00
5,5/14/2018,13528.32,25.93,0.53,3.23,318.31,5.21,1.38,636.63,138.81,14.17,61.07,3501.45,1273.25,0.00,0.00,0.00,318.31,0.00,0.00
6,4/26/2018,106.36,19.44,2.00,2.31,2.47,4.04,1.64,4.95,59.54,28.69,12.11,28.45,9.89,2.47,0.00,0.00,2.47,0.00,0.00
7,4/27/2018,67.25,12.76,0.85,0.86,1.49,0.00,1.91,2.24,18.60,11.91,4.37,7.47,8.22,1.49,0.00,0.00,1.49,0.00,0.00
8,5/3/2018,74.64,10.04,0.84,0.12,1.78,0.00,1.37,3.55,15.49,11.03,0.19,27.55,4.44,0.00,0.00,0.00,1.78,0.00,0.00
9,5/4/2018,76.77,7.50,0.58,0.00,0.00,0.00,0.54,3.60,14.04,6.05,3.29,35.98,0.00,0.00,0.00,0.00,2.40,10.80,0.00
10,5/5/2018,89.59,9.68,0.59,0.89,1.99,0.07,1.88,5.97,31.28,7.96,13.73,36.83,3.98,1.99,4.98,3.98,1.99,0.00,1.99
11,5/17/2018,113.05,9.53,1.20,0.02,2.90,0.80,1.30,0.00,15.26,10.68,5.52,42.03,21.74,2.90,0.00,0.00,4.35,0.00,0.00
12,5/13/2018,279.39,8.13,1.53,0.00,7.35,0.65,0.46,0.00,38.65,14.61,18.47,117.64,36.76,0.00,0.00,0.00,11.03,0.00,0.00
13,5/6/2018,73.41,11.96,0.76,0.24,1.86,0.00,1.94,2.79,13.80,5.65,3.26,29.74,10.22,0.00,0.00,0.00,1.86,0.00,0.00
14,5/10/2018,3974.52,10.01,0.41,0.86,91.37,1.10,0.60,0.00,58.00,4.85,40.03,776.63,913.68,0.00,0.00,0.00,91.37,0.00,0.00
15,5/8/2018,95.48,21.33,1.80,0.23,2.45,0.97,3.00,0.00,48.94,5.35,20.47,35.50,14.69,0.00,0.00,0.00,2.45,0.00,0.00
16,5/7/2018,71.59,11.06,0.81,0.00,2.56,0.00,0.59,2.56,10.33,13.13,-1.41,22.16,14.49,0.00,0.00,0.00,1.70,0.00,0.00
17,5/9/2018,242.94,16.92,2.49,0.64,5.58,0.51,2.74,11.17,31.11,9.98,13.20,64.23,39.09,5.58,0.00,0.00,8.38,0.00,0.00
18,5/23/2018,326.11,14.18,2.45,0.36,6.94,2.47,1.83,17.35,42.46,6.02,22.21,142.24,17.35,0.00,0.00,0.00,6.94,24.28,0.00
19,5/25/2018,168.46,13.00,1.68,0.11,3.96,0.98,1.31,9.91,29.87,7.51,11.36,71.35,11.89,0.00,0.00,0.00,3.96,0.00,0.00
20,5/16/2018,159.47,8.54,0.80,0.01,0.00,0.00,0.17,8.39,14.94,2.28,4.51,70.50,8.39,0.00,0.00,0.00,3.36,10.07,0.00
21,5/18/2018,138.78,14.54,1.20,0.45,3.19,0.00,2.04,11.17,13.79,8.81,1.69,60.61,11.17,3.19,7.98,6.38,0.00,0.00,3.19
22,5/20/2018,96.09,20.04,0.97,0.59,0.00,0.43,2.91,6.86,13.20,4.74,2.63,49.19,5.72,0.00,4.58,3.43,0.00,0.00,2.29
23,5/12/2018,276.18,8.05,0.86,0.54,6.35,0.00,1.83,15.87,20.79,8.60,10.39,123.81,19.05,6.35,0.00,0.00,6.35,19.05,0.00
24,5/27/2018,394.25,7.61,1.32,0.34,13.75,1.89,0.81,22.92,41.64,4.14,20.23,114.61,64.18,9.17,0.00,0.00,9.17,0.00,0.00
25,5/21/2018,75.38,17.88,1.51,0.76,2.66,0.00,3.49,3.55,15.06,24.56,-1.85,20.40,10.64,1.77,0.00,0.00,2.66,0.00,0.00
26,5/22/2018,180.26,9.60,1.36,0.00,3.96,0.34,1.26,9.90,23.64,5.43,10.25,89.14,7.92,0.00,0.00,0.00,3.96,11.89,0.00
27,5/19/2018,95.51,16.43,0.76,0.01,3.49,0.00,3.19,4.66,10.98,6.26,1.38,37.27,8.15,0.00,0.00,0.00,3.49,0.00,0.00
28,5/24/2018,311.14,17.88,2.00,0.11,10.85,1.04,1.54,10.85,37.34,4.65,14.91,97.68,32.56,0.00,0.00,0.00,7.24,21.71,0.00
29,5/15/2018,364.65,11.49,2.33,0.97,8.29,0.21,0.67,20.72,37.20,10.70,18.17,161.61,24.86,8.29,0.00,0.00,12.43,24.86,0.00
30,5/26/2018,229.58,7.45,1.22,0.55,7.83,0.63,0.00,13.04,37.61,1.82,16.12,65.22,39.13,5.22,0.00,7.83,5.22,0.00,0.00
